doc_id,name,gender,dob,degree,success_rate,experience,hid,dep_id
1,William,M,5/25/2002,DM,71,19,1,1
2,John,M,3/20/1963,Super Speciality,77,58,2,10
3,James,M,7/2/1967,FRCS,86,54,3,1
4,Charles,M,2/15/1979,Super Speciality,75,42,4,11
5,George,M,8/23/1996,Super Speciality,78,25,5,9
6,Frank,M,11/22/2002,MBBS,92,19,6,7
7,Joseph,M,4/19/1948,MD,83,73,7,7
8,Thomas,M,2/23/1980,FRCS,83,41,8,13
9,Henry,M,8/3/1989,MS,76,32,9,2
10,Robert,M,4/19/1984,MBBS,98,37,10,14
11,Edward,M,11/19/1953,MBBS,90,68,11,2
12,Harry,M,2/21/1960,DM,83,61,12,17
13,Walter,M,12/23/1956,MD,79,65,13,8
14,Arthur,M,5/14/1977,FRCS,90,44,14,1
15,Fred,M,6/9/1954,DM,65,67,15,19
16,Albert,M,10/4/1952,MBBS,84,69,16,4
17,Samuel,M,5/27/2001,FRCS,80,20,17,5
18,David,M,8/16/1943,DM,71,78,18,12
19,Louis,M,3/30/2000,MBBS,74,21,19,5
20,Joe,M,11/16/1997,Super Speciality,71,24,20,4
21,Charlie,M,12/10/1970,DM,65,51,21,15
22,Clarence,M,3/26/1957,FRCS,91,64,22,11
23,Richard,M,5/21/1948,FRCS,93,73,23,8
24,Andrew,M,6/10/1977,MBBS,100,44,24,12
25,Daniel,M,9/22/1979,MD,90,42,25,1
26,Ernest,M,9/7/1973,MBBS,92,48,26,19
27,Will,M,7/22/1972,DM,67,49,27,2
28,Jesse,M,9/23/1978,MD,85,43,28,15
29,Oscar,M,1/15/1998,MS,92,23,29,7
30,Lewis,M,12/23/1961,DM,71,60,30,15
31,Peter,M,8/26/1992,FRCS,74,29,31,19
32,Benjamin,M,2/30/1957,FRCS,65,64,32,17
33,Frederick,M,7/4/1998,Super Speciality,77,23,33,10
34,Willie,M,3/24/2002,DM,67,19,34,18
35,Alfred,M,4/11/1948,DM,77,73,35,1
36,Sam,M,6/1/1944,MD,83,77,36,19
37,Roy,M,10/16/1942,FRCS,82,79,37,11
38,Herbert,M,1/13/2002,FRCS,65,19,38,10
39,Jacob,M,8/5/1982,Super Speciality,82,39,39,6
40,Tom,M,6/19/1942,DM,79,79,40,4
41,Elmer,M,9/3/1973,FRCS,80,48,41,16
42,Carl,M,10/21/1973,MD,65,48,42,2
43,Lee,M,4/4/1999,MD,78,22,43,2
44,Howard,M,8/15/1963,MD,86,58,44,11
45,Martin,M,11/7/1946,MBBS,80,75,45,1
46,Michael,M,5/19/1944,MBBS,84,77,46,12
47,Bert,M,10/9/1969,MBBS,84,52,47,2
48,Herman,M,9/2/1992,MD,100,29,48,15
49,Jim,M,6/29/1966,MS,70,55,49,4
50,Francis,M,12/4/1951,FRCS,78,70,50,2
51,Harvey,M,10/18/1975,MBBS,90,46,51,12
52,Earl,M,1/18/1949,MD,75,72,52,3
53,Eugene,M,8/23/1954,MD,69,67,53,9
54,Ralph,M,12/30/1954,MS,69,67,54,17
55,Ed,M,8/26/1999,Super Speciality,98,22,55,16
56,Claude,M,3/20/1941,MBBS,70,80,56,12
57,Edwin,M,9/7/1944,MD,91,77,57,17
58,Ben,M,2/8/1966,MS,71,55,58,14
59,Charley,M,3/24/1941,MS,65,80,59,8
60,Paul,M,9/22/1962,MS,83,59,60,1
61,Edgar,M,10/22/1958,FRCS,79,63,61,1
62,Isaac,M,8/13/1971,MBBS,84,50,62,11
63,Otto,M,3/10/1951,Super Speciality,83,70,63,19
64,Luther,M,11/11/1952,Super Speciality,80,69,64,16
65,Lawrence,M,8/8/1971,MS,69,50,65,10
66,Ira,M,1/24/1965,MBBS,66,56,66,7
67,Patrick,M,1/27/2002,Super Speciality,82,19,67,2
68,Guy,M,7/19/1952,Super Speciality,74,69,68,6
69,Oliver,M,4/9/1976,MS,67,45,69,16
70,Theodore,M,1/26/1979,Super Speciality,78,42,70,2
71,Hugh,M,6/7/1941,DM,89,80,71,4
72,Clyde,M,8/24/1948,MS,80,73,72,18
73,Alexander,M,12/19/1941,DM,75,80,73,10
74,August,M,10/9/2003,DM,83,18,74,3
75,Floyd,M,6/18/1939,MD,76,82,75,4
76,Homer,M,1/3/1956,MBBS,86,65,76,14
77,Jack,M,7/10/1991,MD,89,30,77,5
78,Leonard,M,10/18/1987,MD,67,34,78,7
79,Horace,M,10/1/1956,FRCS,90,65,79,13
80,Marion,M,12/16/1951,MD,84,70,80,18
81,Philip,M,2/26/1956,DM,86,65,81,2
82,Allen,M,8/2/1961,FRCS,66,60,82,5
83,Archie,M,7/2/1958,MD,91,63,83,3
84,Stephen,M,12/27/1942,MD,88,79,84,8
85,Chester,M,1/21/1939,MBBS,86,82,85,12
86,Willis,M,2/30/1948,Super Speciality,67,73,86,1
87,Raymond,M,4/21/1969,MS,67,52,87,8
88,Rufus,M,3/4/1943,Super Speciality,65,78,88,14
89,Warren,M,9/5/2002,MS,89,19,89,3
90,Jessie,M,6/9/1985,MD,81,36,90,7
91,Milton,M,7/1/1969,Super Speciality,81,52,91,10
92,Alex,M,9/25/1944,Super Speciality,100,77,92,18
93,Leo,M,5/5/1990,MBBS,96,31,93,15
94,Julius,M,6/26/2004,DM,77,17,94,14
95,Ray,M,1/29/1988,MD,68,33,95,8
96,Sidney,M,4/10/1945,Super Speciality,67,76,96,1
97,Bernard,M,7/13/1973,MBBS,71,48,97,19
98,Dan,M,5/6/1982,Super Speciality,91,39,98,8
